rate,noise,window,car
10000,100,1e-09,0
10000,100,2e-09,0
10000,100,5e-09,0
10000,100,1e-08,0
10000,100,2e-08,0
10000,100,5e-08,0
10000,100,1e-07,0
10000,500,1e-09,0
10000,500,2e-09,0
10000,500,5e-09,0
10000,500,1e-08,0
10000,500,2e-08,0
10000,500,5e-08,0
10000,500,1e-07,0
10000,1000,1e-09,0
10000,1000,2e-09,0
10000,1000,5e-09,0
10000,1000,1e-08,0
10000,1000,2e-08,0
10000,1000,5e-08,0
10000,1000,1e-07,0
10000,5000,1e-09,0
10000,5000,2e-09,0
10000,5000,5e-09,0
10000,5000,1e-08,0
10000,5000,2e-08,0
10000,5000,5e-08,0
10000,5000,1e-07,0
50000,100,1e-09,0
50000,100,2e-09,0
50000,100,5e-09,0
50000,100,1e-08,0
50000,100,2e-08,0
50000,100,5e-08,0
50000,100,1e-07,0
50000,500,1e-09,0
50000,500,2e-09,0
50000,500,5e-09,0
50000,500,1e-08,0
50000,500,2e-08,0
50000,500,5e-08,0
50000,500,1e-07,0
50000,1000,1e-09,0
50000,1000,2e-09,0
50000,1000,5e-09,0
50000,1000,1e-08,0
50000,1000,2e-08,0
50000,1000,5e-08,0
50000,1000,1e-07,0
50000,5000,1e-09,0
50000,5000,2e-09,0
50000,5000,5e-09,0
50000,5000,1e-08,0
50000,5000,2e-08,0
50000,5000,5e-08,0
50000,5000,1e-07,0
100000,100,1e-09,0
100000,100,2e-09,0
100000,100,5e-09,0
100000,100,1e-08,0
100000,100,2e-08,0
100000,100,5e-08,0
100000,100,1e-07,0
100000,500,1e-09,0
100000,500,2e-09,0
100000,500,5e-09,0
100000,500,1e-08,0
100000,500,2e-08,0
100000,500,5e-08,0
100000,500,1e-07,0
100000,1000,1e-09,0
100000,1000,2e-09,0
100000,1000,5e-09,0
100000,1000,1e-08,0
100000,1000,2e-08,0
100000,1000,5e-08,0
100000,1000,1e-07,0
100000,5000,1e-09,0
100000,5000,2e-09,0
100000,5000,5e-09,0
100000,5000,1e-08,0
100000,5000,2e-08,0
100000,5000,5e-08,0
100000,5000,1e-07,0
200000,100,1e-09,0
200000,100,2e-09,0
200000,100,5e-09,0
200000,100,1e-08,0
200000,100,2e-08,0
200000,100,5e-08,0
200000,100,1e-07,0
200000,500,1e-09,0
200000,500,2e-09,0
200000,500,5e-09,0
200000,500,1e-08,0
200000,500,2e-08,0
200000,500,5e-08,0
200000,500,1e-07,0
200000,1000,1e-09,0
200000,1000,2e-09,0
200000,1000,5e-09,0
200000,1000,1e-08,0
200000,1000,2e-08,0
200000,1000,5e-08,0
200000,1000,1e-07,0
200000,5000,1e-09,0
200000,5000,2e-09,0
200000,5000,5e-09,0
200000,5000,1e-08,0
200000,5000,2e-08,0
200000,5000,5e-08,0
200000,5000,1e-07,0
500000,100,1e-09,0
500000,100,2e-09,0
500000,100,5e-09,0
500000,100,1e-08,0
500000,100,2e-08,0
500000,100,5e-08,0
500000,100,1e-07,0
500000,500,1e-09,0
500000,500,2e-09,0
500000,500,5e-09,0
500000,500,1e-08,0
500000,500,2e-08,0
500000,500,5e-08,0
500000,500,1e-07,0
500000,1000,1e-09,0
500000,1000,2e-09,0
500000,1000,5e-09,0
500000,1000,1e-08,0
500000,1000,2e-08,0
500000,1000,5e-08,0
500000,1000,1e-07,0
500000,5000,1e-09,0
500000,5000,2e-09,0
500000,5000,5e-09,0
500000,5000,1e-08,0
500000,5000,2e-08,0
500000,5000,5e-08,0
500000,5000,1e-07,0
