rate,window_duration,g2_cross
1.00e+06,1.00e-08,96.078223
1.00e+06,1.00e-08,103.643725
1.00e+06,1.00e-08,96.949676
1.00e+06,1.00e-08,95.712691
1.00e+06,1.00e-08,102.047534
1.00e+06,1.00e-08,94.733765
1.00e+06,1.00e-08,94.563381
1.00e+06,1.00e-08,98.218553
1.00e+06,2.00e-08,51.654335
1.00e+06,2.00e-08,52.246604
1.00e+06,2.00e-08,51.024001
1.00e+06,2.00e-08,51.352353
1.00e+06,2.00e-08,51.117762
1.00e+06,2.00e-08,50.638199
1.00e+06,2.00e-08,50.389208
1.00e+06,2.00e-08,50.619684
1.00e+06,5.00e-08,20.268739
1.00e+06,5.00e-08,20.251114
1.00e+06,5.00e-08,21.688300
1.00e+06,5.00e-08,20.364299
1.00e+06,5.00e-08,20.457698
1.00e+06,5.00e-08,20.499189
1.00e+06,5.00e-08,20.749499
1.00e+06,5.00e-08,20.319809
1.00e+06,1.00e-07,10.749166
1.00e+06,1.00e-07,10.617335
1.00e+06,1.00e-07,10.732648
1.00e+06,1.00e-07,10.534218
1.00e+06,1.00e-07,10.454119
1.00e+06,1.00e-07,10.683173
1.00e+06,1.00e-07,10.660921
1.00e+06,1.00e-07,10.913005
1.00e+06,2.00e-07,5.697787
1.00e+06,2.00e-07,5.644297
1.00e+06,2.00e-07,5.606790
1.00e+06,2.00e-07,5.620697
1.00e+06,2.00e-07,5.617424
1.00e+06,2.00e-07,5.688248
1.00e+06,2.00e-07,5.573620
1.00e+06,2.00e-07,5.634643
1.00e+06,5.00e-07,2.676752
1.00e+06,5.00e-07,2.662180
1.00e+06,5.00e-07,2.631215
1.00e+06,5.00e-07,2.648917
1.00e+06,5.00e-07,2.637722
1.00e+06,5.00e-07,2.672565
1.00e+06,5.00e-07,2.689951
1.00e+06,5.00e-07,2.645389
1.00e+06,1.00e-06,1.667157
1.00e+06,1.00e-06,1.669965
1.00e+06,1.00e-06,1.677114
1.00e+06,1.00e-06,1.677085
