min_gap,window_duration,g2
5.00e-10,5.00e-10,0.000000
5.00e-10,1.00e-09,0.579708
5.00e-10,2.00e-09,0.807219
5.00e-10,5.00e-09,0.927243
5.00e-10,1.00e-08,0.964951
5.00e-10,2.00e-08,0.983173
5.00e-10,5.00e-08,0.992965
5.00e-10,1.00e-07,0.996499
5.00e-10,2.00e-07,0.998317
5.00e-10,5.00e-07,0.999313
5.00e-10,1.00e-06,0.999666
5.00e-10,2.00e-06,0.999825
5.00e-10,5.00e-06,0.999933
5.00e-10,1.00e-05,0.999965
1.00e-09,5.00e-10,0.000000
1.00e-09,1.00e-09,0.000000
1.00e-09,2.00e-09,0.522849
1.00e-09,5.00e-09,0.816050
1.00e-09,1.00e-08,0.907618
1.00e-09,2.00e-08,0.953346
1.00e-09,5.00e-08,0.981609
1.00e-09,1.00e-07,0.990819
1.00e-09,2.00e-07,0.995381
1.00e-09,5.00e-07,0.998148
1.00e-09,1.00e-06,0.999067
1.00e-09,2.00e-06,0.999534
1.00e-09,5.00e-06,0.999814
1.00e-09,1.00e-05,0.999907
2.00e-09,5.00e-10,0.000000
2.00e-09,1.00e-09,0.000000
2.00e-09,2.00e-09,0.000000
2.00e-09,5.00e-09,0.634459
2.00e-09,1.00e-08,0.799380
2.00e-09,2.00e-08,0.900432
2.00e-09,5.00e-08,0.959699
2.00e-09,1.00e-07,0.979972
2.00e-09,2.00e-07,0.989829
2.00e-09,5.00e-07,0.995980
2.00e-09,1.00e-06,0.997985
2.00e-09,2.00e-06,0.998986
2.00e-09,5.00e-06,0.999597
2.00e-09,1.00e-05,0.999798
5.00e-09,5.00e-10,0.000000
5.00e-09,1.00e-09,0.000000
5.00e-09,2.00e-09,0.000000
5.00e-09,5.00e-09,0.000080
5.00e-09,1.00e-08,0.502503
5.00e-09,2.00e-08,0.749850
5.00e-09,5.00e-08,0.900405
5.00e-09,1.00e-07,0.950130
5.00e-09,2.00e-07,0.975036
5.00e-09,5.00e-07,0.990027
5.00e-09,1.00e-06,0.994999
5.00e-09,2.00e-06,0.997489
5.00e-09,5.00e-06,0.999001
