rate,window_duration,g2
1.00e+04,1.00e-10,0.000000
1.00e+04,2.00e-10,0.000000
1.00e+04,5.00e-10,0.000000
1.00e+04,1.00e-09,0.000000
1.00e+04,2.00e-09,0.000000
1.00e+04,5.00e-09,0.000000
1.00e+04,1.00e-08,0.000000
1.00e+04,2.00e-08,0.000000
1.00e+04,5.00e-08,0.000000
1.00e+04,1.00e-07,0.000000
1.00e+04,2.00e-07,0.000000
1.00e+04,5.00e-07,1.623482
2.00e+04,1.00e-10,0.000000
2.00e+04,2.00e-10,0.000000
2.00e+04,5.00e-10,0.000000
2.00e+04,1.00e-09,0.000000
2.00e+04,2.00e-09,0.000000
2.00e+04,5.00e-09,0.000000
2.00e+04,1.00e-08,0.000000
2.00e+04,2.00e-08,0.000000
2.00e+04,5.00e-08,0.000000
2.00e+04,1.00e-07,0.000000
2.00e+04,2.00e-07,0.000000
2.00e+04,5.00e-07,0.793135
5.00e+04,1.00e-10,0.000000
5.00e+04,2.00e-10,0.000000
5.00e+04,5.00e-10,0.000000
5.00e+04,1.00e-09,0.000000
5.00e+04,2.00e-09,0.000000
5.00e+04,5.00e-09,0.000000
5.00e+04,1.00e-08,0.000000
5.00e+04,2.00e-08,0.000000
5.00e+04,5.00e-08,0.000000
5.00e+04,1.00e-07,1.646091
5.00e+04,2.00e-07,1.997683
5.00e+04,5.00e-07,0.776041
1.00e+05,1.00e-10,0.000000
1.00e+05,2.00e-10,0.000000
1.00e+05,5.00e-10,0.000000
1.00e+05,1.00e-09,0.000000
1.00e+05,2.00e-09,0.000000
1.00e+05,5.00e-09,0.000000
1.00e+05,1.00e-08,0.000000
1.00e+05,2.00e-08,9.204713
1.00e+05,5.00e-08,0.000000
1.00e+05,1.00e-07,2.017471
1.00e+05,2.00e-07,1.051384
1.00e+05,5.00e-07,0.954864
2.00e+05,1.00e-10,0.000000
2.00e+05,2.00e-10,0.000000
2.00e+05,5.00e-10,0.000000
2.00e+05,1.00e-09,0.000000
2.00e+05,2.00e-09,0.000000
2.00e+05,5.00e-09,0.000000
2.00e+05,1.00e-08,12.351779
2.00e+05,2.00e-08,0.000000
2.00e+05,5.00e-08,1.591280
2.00e+05,1.00e-07,1.033912
2.00e+05,2.00e-07,0.957170
2.00e+05,5.00e-07,0.897425
5.00e+05,1.00e-10,0.000000
5.00e+05,2.00e-10,0.000000
5.00e+05,5.00e-10,0.000000
5.00e+05,1.00e-09,0.000000
5.00e+05,2.00e-09,0.000000
5.00e+05,5.00e-09,6.604147
5.00e+05,1.00e-08,1.527044
5.00e+05,2.00e-08,1.219056
5.00e+05,5.00e-08,1.082040
5.00e+05,1.00e-07,1.251492
5.00e+05,2.00e-07,1.012981
5.00e+05,5.00e-07,1.002759
1.00e+06,1.00e-10,0.000000
1.00e+06,2.00e-10,0.000000
1.00e+06,5.00e-10,0.000000
1.00e+06,1.00e-09,0.000000
1.00e+06,2.00e-09,0.000000
1.00e+06,5.00e-09,1.332268
1.00e+06,1.00e-08,2.612694
1.00e+06,2.00e-08,0.887464
1.00e+06,5.00e-08,0.797967
1.00e+06,1.00e-07,0.988357
1.00e+06,2.00e-07,1.049679
1.00e+06,5.00e-07,1.012788
2.00e+06,1.00e-10,0.000000
2.00e+06,2.00e-10,0.000000
2.00e+06,5.00e-10,0.000000
2.00e+06,1.00e-09,0.000000
2.00e+06,2.00e-09,0.000000
2.00e+06,5.00e-09,0.451879
2.00e+06,1.00e-08,0.808178
2.00e+06,2.00e-08,1.165103
2.00e+06,5.00e-08,0.802000
2.00e+06,1.00e-07,0.934514
2.00e+06,2.00e-07,0.982949
2.00e+06,5.00e-07,1.010777
5.00e+06,1.00e-10,0.000000
5.00e+06,2.00e-10,0.000000
5.00e+06,5.00e-10,0.000000
5.00e+06,1.00e-09,0.000000
5.00e+06,2.00e-09,0.444152
5.00e+06,5.00e-09,0.714036
5.00e+06,1.00e-08,0.819940
5.00e+06,2.00e-08,0.964712
5.00e+06,5.00e-08,1.005632
5.00e+06,1.00e-07,1.014656
5.00e+06,2.00e-07,0.984739
5.00e+06,5.00e-07,0.997311
1.00e+07,1.00e-10,0.000000
1.00e+07,2.00e-10,0.000000
1.00e+07,5.00e-10,0.000000
1.00e+07,1.00e-09,0.389818
1.00e+07,2.00e-09,1.032390
1.00e+07,5.00e-09,0.962348
1.00e+07,1.00e-08,1.047593
1.00e+07,2.00e-08,1.030099
1.00e+07,5.00e-08,0.991240
1.00e+07,1.00e-07,1.001685
1.00e+07,2.00e-07,1.003068
1.00e+07,5.00e-07,0.999835
2.00e+07,1.00e-10,0.000000
2.00e+07,2.00e-10,0.000000
2.00e+07,5.00e-10,0.915097
2.00e+07,1.00e-09,0.617236
2.00e+07,2.00e-09,0.939647
2.00e+07,5.00e-09,1.014928
2.00e+07,1.00e-08,1.006324
2.00e+07,2.00e-08,0.980902
2.00e+07,5.00e-08,0.998804
2.00e+07,1.00e-07,1.005027
2.00e+07,2.00e-07,1.000560
2.00e+07,5.00e-07,0.999392
5.00e+07,1.00e-10,1.709899
5.00e+07,2.00e-10,0.956938
5.00e+07,5.00e-10,0.791263
5.00e+07,1.00e-09,0.954307
5.00e+07,2.00e-09,1.004813
5.00e+07,5.00e-09,1.024158
5.00e+07,1.00e-08,0.983855
5.00e+07,2.00e-08,0.985106
5.00e+07,5.00e-08,1.000859
5.00e+07,1.00e-07,1.001328
5.00e+07,2.00e-07,1.000145
5.00e+07,5.00e-07,0.999869
1.00e+08,1.00e-10,1.267748
1.00e+08,2.00e-10,1.177794
1.00e+08,5.00e-10,1.026601
1.00e+08,1.00e-09,0.875758
1.00e+08,2.00e-09,0.987555
1.00e+08,5.00e-09,0.985364
1.00e+08,1.00e-08,0.995559
1.00e+08,2.00e-08,0.999786
1.00e+08,5.00e-08,1.000929
1.00e+08,1.00e-07,0.999387
1.00e+08,2.00e-07,1.000210
1.00e+08,5.00e-07,1.000014
2.00e+08,1.00e-10,0.292928
2.00e+08,2.00e-10,0.887147
2.00e+08,5.00e-10,1.101829
2.00e+08,1.00e-09,0.964352
2.00e+08,2.00e-09,0.992813
2.00e+08,5.00e-09,0.997648
2.00e+08,1.00e-08,1.003107
2.00e+08,2.00e-08,1.002301
2.00e+08,5.00e-08,1.000192
2.00e+08,1.00e-07,1.000224
2.00e+08,2.00e-07,0.999995
2.00e+08,5.00e-07,0.999956
5.00e+08,1.00e-10,1.274456
5.00e+08,2.00e-10,0.916492
5.00e+08,5.00e-10,1.013384
5.00e+08,1.00e-09,0.993788
5.00e+08,2.00e-09,1.008609
5.00e+08,5.00e-09,1.001526
5.00e+08,1.00e-08,0.997998
5.00e+08,2.00e-08,0.999559
5.00e+08,5.00e-08,0.999564
5.00e+08,1.00e-07,0.999746
5.00e+08,2.00e-07,0.999931
5.00e+08,5.00e-07,1.000022
1.00e+09,1.00e-10,0.937561
1.00e+09,2.00e-10,1.104151
1.00e+09,5.00e-10,0.996389
1.00e+09,1.00e-09,0.997731
1.00e+09,2.00e-09,1.001754
1.00e+09,5.00e-09,1.001408
1.00e+09,1.00e-08,0.998780
1.00e+09,2.00e-08,1.000073
1.00e+09,5.00e-08,0.999937
1.00e+09,1.00e-07,1.000000
1.00e+09,2.00e-07,0.999980
1.00e+09,5.00e-07,0.999986
