rate,window_duration,p_click_heralded
1.00e+06,1.00e-08,1.0e-08,0.487179
1.00e+06,1.00e-08,1.0e-07,0.509025
1.00e+06,1.00e-08,1.0e-06,0.510121
1.00e+06,1.00e-08,1.0e-05,0.503774
1.00e+06,1.00e-08,1.0e-04,0.497207
1.00e+06,1.00e-08,1.0e-03,0.462247
1.00e+06,1.00e-08,1.0e-02,0.514170
1.00e+06,1.00e-08,1.0e-01,0.533477
1.00e+06,2.00e-08,1.0e-08,0.499482
1.00e+06,2.00e-08,1.0e-07,0.452183
1.00e+06,2.00e-08,1.0e-06,0.490982
1.00e+06,2.00e-08,1.0e-05,0.515516
1.00e+06,2.00e-08,1.0e-04,0.508509
1.00e+06,2.00e-08,1.0e-03,0.477707
1.00e+06,2.00e-08,1.0e-02,0.511583
1.00e+06,2.00e-08,1.0e-01,0.562368
1.00e+06,5.00e-08,1.0e-08,0.508203
1.00e+06,5.00e-08,1.0e-07,0.518864
1.00e+06,5.00e-08,1.0e-06,0.503093
1.00e+06,5.00e-08,1.0e-05,0.502760
1.00e+06,5.00e-08,1.0e-04,0.510900
1.00e+06,5.00e-08,1.0e-03,0.501421
1.00e+06,5.00e-08,1.0e-02,0.501799
1.00e+06,5.00e-08,1.0e-01,0.562201
1.00e+06,1.00e-07,1.0e-08,0.516385
1.00e+06,1.00e-07,1.0e-07,0.509631
1.00e+06,1.00e-07,1.0e-06,0.510736
1.00e+06,1.00e-07,1.0e-05,0.513166
1.00e+06,1.00e-07,1.0e-04,0.501458
1.00e+06,1.00e-07,1.0e-03,0.510421
1.00e+06,1.00e-07,1.0e-02,0.512215
1.00e+06,1.00e-07,1.0e-01,0.549837
1.00e+06,2.00e-07,1.0e-08,0.515693
1.00e+06,2.00e-07,1.0e-07,0.507379
1.00e+06,2.00e-07,1.0e-06,0.511522
1.00e+06,2.00e-07,1.0e-05,0.509454
1.00e+06,2.00e-07,1.0e-04,0.509313
1.00e+06,2.00e-07,1.0e-03,0.513749
1.00e+06,2.00e-07,1.0e-02,0.517754
